selection_rank,name,source,session,duration_seconds,text_characters,annotation_pattern,expression,action,joint_speed_mean,joint_speed_p90,body_rotation_speed,body_rotation_p90,hand_rotation_speed,hand_rotation_p90,joint_positions_available,complexity_score,duration_bin,text_length_bin,complexity_bin
11,fbx_to_json_data_susu_retarget_maya/20250915/Human_0912_196-3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250915,6.3,17,no-tags,<unannotated>,<unannotated>,0.020716438069939613,0.06493266671895981,0.020716438069939613,0.06493266671895981,0.01193419098854065,0.03772895783185959,False,0.5641366074245452,q3of5,q2of5,q3of5
12,fbx_to_json_data_susu_retarget_maya/20250829/Human_0826_277-3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250829,7.05,19,action-only,<unannotated>,手背托下巴,0.016298221424221992,0.0342835858464241,0.016298221424221992,0.0342835858464241,0.023560861125588417,0.06874176114797592,False,0.6196235145651489,q4of5,q3of5,q4of5
13,fbx_to_json_data_susu_chonglu/20260119/Human_268_106_01_B,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260119,3.75,12,expression+action,若有所思,双手交叠悬空,0.5866292715072632,1.8256940841674805,0.006876041181385517,0.018482215702533722,0.0027820051182061434,0.007758542895317078,True,0.07712430329161847,q1of5,q1of5,q1of5
14,fbx_to_json_data_susu_retarget_maya/20250902/Human_0829_197-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250902,10.7,23,expression-only,若无其事,<unannotated>,0.012390387244522572,0.030092280358076096,0.012390387244522572,0.030092280358076096,0.018643101677298546,0.0511656291782856,False,0.4294484172888842,q5of5,q5of5,q2of5
15,fbx_to_json_data_susu_retarget_maya/20250821/Human_0819_160-6_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250821,5.25,21,action-only,<unannotated>,身体前倾缓慢后撤,0.034156594425439835,0.08425544202327728,0.034156594425439835,0.08425544202327728,0.04003433510661125,0.12842848896980286,False,0.9678856872436639,q2of5,q4of5,q5of5
16,fbx_to_json_data_susu_retarget_maya/20250805/Human_susu_250804_14-9_04,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250805,4.6,17,action-only,<unannotated>,身体前倾,0.010901613160967827,0.027310531586408615,0.010901613160967827,0.027310531586408615,0.022340895608067513,0.06416334956884384,False,0.4599458407824166,q2of5,q2of5,q3of5
17,fbx_to_json_data_susu_retarget_maya/20250806/Human_susu_250804_131-8_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250806,5.65,8,expression-only,单眼眨,<unannotated>,0.008533656597137451,0.015019921585917473,0.008533656597137451,0.015019921585917473,0.02206571027636528,0.0680769756436348,False,0.37695867073298983,q3of5,q1of5,q2of5
18,fbx_to_json_data_susu_retarget_maya/20250828/Human_0826_195-3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250828,8.1,20,expression+action,轻笑,双腿交叉站立,0.01953909359872341,0.048448432236909866,0.01953909359872341,0.048448432236909866,0.028227651491761208,0.08340644836425781,False,0.7900147228941004,q5of5,q4of5,q5of5
19,fbx_to_json_data_susu_retarget_maya/20250826/Human_0825_172-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250826,7.65,18,action-only,<unannotated>,轻拨发丝,0.013810988515615463,0.033106498420238495,0.013810988515615463,0.033106498420238495,0.03685416653752327,0.10874693095684052,False,0.7092754232832054,q4of5,q3of5,q4of5
20,fbx_to_json_data_susu_retarget_maya/20250929/Human_0916_114_3_2_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250929,3.65,60,no-tags,<unannotated>,<unannotated>,0.008759375661611557,0.01927260123193264,0.008759375661611557,0.01927260123193264,0.0066016302444040775,0.017428457736968994,False,0.13031075822904617,q1of5,q5of5,q1of5
21,fbx_to_json_data_susu_chonglu/20260116/Human_233_208_01_A,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260116,3.35,12,expression+action,嗔怪,微微摇头,0.3804376721382141,0.7847718000411987,0.007458678912371397,0.017289938405156136,0.00747307576239109,0.020909905433654785,True,0.12197654853296877,q1of5,q1of5,q1of5
22,fbx_to_json_data_susu_retarget_maya/20250905/Human_0904_179-1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250905,7.95,22,action-only,<unannotated>,微微歪头看着他,0.014718350023031235,0.033246174454689026,0.014718350023031235,0.033246174454689026,0.018648799508810043,0.05961395427584648,False,0.5173125460090441,q5of5,q4of5,q3of5
23,fbx_to_json_data_susu_retarget_maya/20250825/Human_0825_92-6_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250825,6.4,16,expression-only,小得意,<unannotated>,0.018609730526804924,0.048606887459754944,0.018609730526804924,0.048606887459754944,0.03415222465991974,0.09672082960605621,False,0.8288857924071933,q3of5,q2of5,q5of5
24,fbx_to_json_data_susu_retarget_maya/20250815/Human_0814_77-8_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250815,6.95,24,action-only,<unannotated>,眼神游离,0.009613769128918648,0.021110899746418,0.009613769128918648,0.021110899746418,0.02450067549943924,0.0702098086476326,False,0.43909717110106217,q4of5,q5of5,q2of5
25,fbx_to_json_data_susu_retarget_maya/20250804/Human_706-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250804,5.45,18,expression+action,撒娇,一只脚轻轻踩另一只脚,0.015503181144595146,0.036640554666519165,0.015503181144595146,0.036640554666519165,0.029232684522867203,0.08673667162656784,False,0.7051214638763277,q2of5,q3of5,q4of5
26,fbx_to_json_data_susu_retarget_maya/20250801/Human_582-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250801,5.8,15,action-only,<unannotated>,手指点太阳穴,0.010497072711586952,0.024718623608350754,0.010497072711586952,0.024718623608350754,0.019183015450835228,0.062230434268713,False,0.40121200967504467,q3of5,q1of5,q2of5
27,fbx_to_json_data_susu_retarget_maya/20250822/Human_0819_246-3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250822,4.8,18,expression-only,莞尔,<unannotated>,0.017222676426172256,0.048100173473358154,0.017222676426172256,0.048100173473358154,0.02910570055246353,0.07927647978067398,False,0.7619229151330319,q2of5,q3of5,q5of5
28,fbx_to_json_data_susu_retarget_maya/20251015/Human_0916_245_1_5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251015,3.85,58,no-tags,<unannotated>,<unannotated>,0.038595691323280334,0.07828915119171143,0.001956427935510874,0.004704879131168127,0.0014666060451418161,0.004301921930164099,True,0.015537911452308338,q1of5,q5of5,q1of5
29,fbx_to_json_data_susu_retarget_maya/20251107/Human_1021_249_4_8_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251107,7.25,21,action-only,<unannotated>,毫无征兆地以脚尖为支点，快速地转了一圈回到正面，然后站定，歪着头看你，好像什么都没发生。,1.0247752666473389,3.011796474456787,0.016256699338555336,0.037049129605293274,0.023454396054148674,0.07520558685064316,True,0.6507782101167315,q4of5,q4of5,q4of5
30,fbx_to_json_data_susu_retarget_maya/20251022/Human_1021_9_0_1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251022,8.4,17,action-only,<unannotated>,身体微微下沉，双臂在身前交叉，然后缓缓向上举起，像是在拥抱一轮看不见的月亮。,1.0926469564437866,3.0142645835876465,0.01846328377723694,0.05535862222313881,0.008545204997062683,0.021537132561206818,True,0.46674203386265645,q5of5,q2of5,q3of5
31,fbx_to_json_data_susu_retarget_maya/20251029/Human_1021_61_1_11_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251029,3.75,26,expression+action,托腮浅笑,突然把双腿收回变成盘腿坐姿，双手托着脸颊，歪着头安静地观察对方的反应,1.2477467060089111,2.8158061504364014,0.01841612346470356,0.039135146886110306,0.0037287073209881783,6.242590302463213e-07,True,0.3496818803239036,q1of5,q5of5,q2of5
32,fbx_to_json_data_susu_retarget_maya/20250813/Human_0811_7-8_02,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250813,5.9,16,expression-only,眨眼,<unannotated>,0.00549150537699461,0.012912805192172527,0.00549150537699461,0.012912805192172527,0.0012876036344096065,0.004157546442002058,False,0.039331159953728045,q3of5,q2of5,q1of5
33,fbx_to_json_data_susu_retarget_maya/20250819/Human_0814_251-1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250819,5.6,13,expression+action,玩味,双手背后,0.011634809896349907,0.02474156767129898,0.011634809896349907,0.02474156767129898,0.025988882407546043,0.07996362447738647,False,0.5278420443790094,q2of5,q1of5,q3of5
34,fbx_to_json_data_susu_retarget_maya/20251031/Human_1021_84_4_14_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251031,8.1,21,action-only,<unannotated>,模仿指挥家，对着你用力地挥动了一下手臂，仿佛在宣布“你的时间现在属于我了”。,1.5421075820922852,4.144406318664551,0.01982332020998001,0.05060498043894768,0.030908605083823204,0.0860753059387207,True,0.8184746030076769,q5of5,q4of5,q5of5
35,fbx_to_json_data_susu_retarget_maya/20251110/Human_1021_272_1_8_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251110,7.5,18,action-only,<unannotated>,她张开手掌，假装把刚才“收集”的味道吹向自己，然后夸张地向后一仰，做出一个“被迷倒了”的陶醉表情。,1.4932528734207153,3.6332449913024902,0.018954968079924583,0.048861633986234665,0.021585026755928993,0.05845300853252411,True,0.6687480281838258,q4of5,q3of5,q4of5
36,fbx_to_json_data_susu_retarget_maya/20251104/Human_0916_152_2_6_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251104,3.45,47,no-tags,<unannotated>,<unannotated>,0.3119781017303467,0.6017057299613953,0.007749404292553663,0.019089218229055405,0.004431411158293486,0.011294722557067871,True,0.09848564517825219,q1of5,q5of5,q1of5
37,fbx_to_json_data_susu_retarget_maya/20250818/Human_0814_134-8_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250818,5.5,12,expression+action,甜美微笑,脸颊比心,0.011405366472899914,0.02668165974318981,0.011405366472899914,0.02668165974318981,0.02146599255502224,0.060564037412405014,False,0.4459065096224629,q2of5,q1of5,q2of5
38,fbx_to_json_data_susu_retarget_maya/20251113/Human_1021_311_4_8_03_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251113,6.1,19,action-only,<unannotated>,身体慢慢滑落，直到坐在地上，然后双臂环抱住自己的膝盖，把脸埋进去。,2.1032395362854004,5.24566650390625,0.028886869549751282,0.07791838049888611,0.02054874412715435,0.05313238501548767,True,0.7338442528131245,q3of5,q3of5,q5of5
39,fbx_to_json_data_susu_retarget_maya/20251111/Human_1021_287_3_6_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251111,7.45,22,action-only,<unannotated>,用手臂在空中画一个巨大的叉，然后摇摇头，嘴角却忍不住带着笑意。,2.712038993835449,8.269583702087402,0.02166053093969822,0.05403326079249382,0.01830730214715004,0.05101620405912399,True,0.6477416132085393,q4of5,q4of5,q4of5
40,fbx_to_json_data_susu_retarget_maya/20251011/Human_0916_181_0_2_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251011,8.55,16,action-only,<unannotated>,身体像一片羽毛般，极其缓慢地向下弯曲，脊椎一节节地舒展开来。,2.481336832046509,5.131130218505859,0.019490255042910576,0.05230669677257538,0.013630245812237263,0.03897061198949814,True,0.5487038595015249,q5of5,q2of5,q3of5
41,fbx_to_json_data_susu_retarget_maya/20250812/Human_0811_86-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250812,5.55,16,expression-only,傲娇,<unannotated>,0.007834957912564278,0.014660865068435669,0.007834957912564278,0.014660865068435669,0.008455934934318066,0.013457123190164566,False,0.10829214428436218,q2of5,q2of5,q1of5
42,fbx_to_json_data_susu_retarget_maya/20251103/Human_1021_103_1_4_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251103,3.1,31,expression+action,嘴角上扬，眼神闪烁着狡黠,双臂向身体一侧平举展开，手掌摊开，做出隆重介绍的邀请姿势,2.546130895614624,7.580233097076416,0.02879788726568222,0.07413073629140854,0.050961289554834366,0.16693612933158875,True,0.9635871279840151,q1of5,q5of5,q5of5
43,fbx_to_json_data_susu_retarget_maya/20251009/Human_0916_150_0_32_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251009,5.75,18,no-tags,<unannotated>,<unannotated>,0.960673987865448,1.7437572479248047,0.013473580591380596,0.03028172440826893,0.0264156274497509,0.07577341794967651,True,0.5899673993059207,q3of5,q3of5,q4of5
44,fbx_to_json_data_susu_retarget_maya/20251112/Human_1021_302_1_2_02_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251112,6.65,21,action-only,<unannotated>,单手在身前画一个弧线，另一只手向侧面伸展，身体微微倾斜，做出一个优雅的舞蹈起手式。,0.8528985381126404,2.674443244934082,0.013890485279262066,0.035677220672369,0.010611006990075111,0.029221713542938232,True,0.36039541487012305,q4of5,q4of5,q2of5
45,fbx_to_json_data_susu_chonglu/20260115/Human_128_99_01_A,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260115,10.2,69,expression+action,眉眼弯弯,双手交叠身前,0.6394034624099731,1.561382532119751,0.01053443644195795,0.023316102102398872,0.027682581916451454,0.08066821843385696,True,0.5142759491008518,q5of5,q5of5,q3of5
46,fbx_to_json_data_susu_retarget_maya/20250917/Human_0915_13-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250917,5.7,17,expression-only,眨了眨眼，带着点俏皮的试探,<unannotated>,1.6307880878448486,4.3334197998046875,0.02298780530691147,0.06097251921892166,0.045894697308540344,0.151666060090065,True,0.9271348196445472,q3of5,q2of5,q5of5
47,fbx_to_json_data_susu_retarget_maya/20251119/Human_0916_311_0_7_03_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251119,6.95,14,action-only,<unannotated>,伸出一只手臂，朝你的方向点了点，随即又像触电般收回怀里。,1.6561615467071533,6.1510329246521,0.02483227662742138,0.05855613574385643,0.016346972435712814,0.0328245535492897,True,0.6007598064991061,q4of5,q1of5,q4of5
48,fbx_to_json_data_susu_retarget_maya/20251013/Human_0916_194_0_10_02,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251013,3.65,14,action-only,<unannotated>,突然把手背到身后，身体前倾，带着一丝狡黠的笑容看着你。,1.0688780546188354,2.893927574157715,0.014418056234717369,0.0390908345580101,0.012846956960856915,0.03500436246395111,True,0.4200888631822484,q1of5,q1of5,q2of5
49,fbx_to_json_data_susu_retarget_maya/20251020/Human_0916_298_0_9_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251020,9.3,19,action-only,<unannotated>,她收回手臂，单手托着下巴，身体微微前倾，眼神在用户和屏幕边缘之间来回移动，像在计算什么。,0.5004300475120544,1.1482174396514893,0.009518135339021683,0.024019746109843254,0.012987891212105751,0.03310290724039078,True,0.24071931854033024,q5of5,q3of5,q1of5
50,fbx_to_json_data_susu_retarget_maya/20251010/Human_0916_169_4_7_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251010,5.35,59,no-tags,<unannotated>,<unannotated>,1.0636546611785889,2.27336049079895,0.018913982436060905,0.04678759723901749,0.010445179417729378,0.0285586416721344,True,0.4758649700283942,q2of5,q5of5,q3of5
51,fbx_to_json_data_susu_retarget_maya/20250814/Human_0814_6-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250814,7.6,21,expression-only,自嘲,<unannotated>,0.006615698803216219,0.013471242971718311,0.006615698803216219,0.013471242971718311,0.00596278952434659,0.007551324553787708,False,0.07416657903039227,q4of5,q4of5,q1of5
52,fbx_to_json_data_susu_chonglu/20260119/Human_102_123_01_A,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260119,5.4,11,expression+action,眯眼笑,左手小幅摆动,0.9073709845542908,1.430010437965393,0.012807726860046387,0.02108912356197834,0.019111767411231995,0.033697810024023056,True,0.33553738563466196,q2of5,q1of5,q2of5
53,fbx_to_json_data_susu_retarget_maya/20251106/Human_0916_185_2_3_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251106,4.4,17,action-only,<unannotated>,接住后，双臂环抱在胸前，紧紧地“搂”住，脸上是藏不住的得意笑容。,1.8016541004180908,5.13494873046875,0.027508724480867386,0.08416356891393661,0.04420994222164154,0.1341882348060608,True,0.9614181301924493,q1of5,q2of5,q5of5
54,fbx_to_json_data_susu_retarget_maya/20250923/Human_0916_48_1_4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250923,5.75,18,action-only,<unannotated>,双臂环抱在胸前，下巴微微抬起，用眼神上下打量着用户，嘴角却忍不住上扬,0.832278311252594,2.0151233673095703,0.015053895302116871,0.03331451863050461,0.0169567558914423,0.04172343388199806,True,0.4519008307918814,q3of5,q3of5,q3of5
55,fbx_to_json_data_susu_retarget_maya/20250926/Human_0916_95_3_9_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250926,9.75,22,action-only,<unannotated>,做完一个用力的加油动作后，突然收回手臂，用手背碰碰自己发烫的脸颊，害羞地低下头。,1.1592851877212524,3.3969545364379883,0.019150521606206894,0.04966114088892937,0.02187839336693287,0.06551498919725418,True,0.6965243453570302,q5of5,q4of5,q4of5
56,fbx_to_json_data_susu_retarget_maya/20251014/Human_0916_215_1_12_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251014,5.0,54,no-tags,<unannotated>,<unannotated>,3.780168056488037,10.376320838928223,0.04084030166268349,0.10898999124765396,0.03427558392286301,0.09395577758550644,True,0.9443422021243033,q2of5,q5of5,q5of5
57,fbx_to_json_data_susu_retarget_maya/20250916/Human_0915_63-3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250916,8.3,22,expression+action,思索,低头,0.01313486322760582,0.028736472129821777,0.01313486322760582,0.028736472129821777,0.03167414665222168,0.07750661671161652,False,0.6083973078136502,q5of5,q4of5,q4of5
58,fbx_to_json_data_susu_retarget_maya/20250925/Human_0916_69_0_1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250925,6.15,17,action-only,<unannotated>,她夸张地长叹一口气，像断了线的木偶，头部无力地歪向一侧，双臂也垂下轻轻摆动。,0.6804244518280029,1.4600191116333008,0.007749349810183048,0.018282487988471985,0.002683947328478098,0.007464237045496702,True,0.08158060784519928,q3of5,q2of5,q1of5
59,fbx_to_json_data_susu_retarget_maya/20250912/Human_0912_73-6_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250912,7.45,18,expression-only,眼中闪着小小的期待,<unannotated>,0.013440287671983242,0.03200319781899452,0.013440287671983242,0.03200319781899452,0.022271234542131424,0.06137200444936752,False,0.5281443895257125,q4of5,q3of5,q3of5
60,fbx_to_json_data_susu_chonglu/20260116/Human_111_135_01_A,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260116,3.75,13,expression+action,眼神认真,身体微前倾,0.26981866359710693,0.6861446499824524,0.006130951456725597,0.01694539561867714,0.025277668610215187,0.06993169337511063,True,0.3986223577663266,q1of5,q1of5,q2of5
61,fbx_to_json_data_susu_retarget_maya/20251121/Human_1119_62_0_8_02_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251121,10.4,22,action-only,<unannotated>,像闻到了香味，闭着眼睛深吸一口气，身体陶醉地像波浪一样轻轻晃动,1.7296416759490967,3.6774163246154785,0.022245069965720177,0.06400952488183975,0.02307591401040554,0.06622788310050964,True,0.7596487538121779,q5of5,q4of5,q5of5
62,fbx_to_json_data_susu_retarget_maya/20250901/Human_0829_142-7_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250901,7.0,17,expression-only,欲拒还迎,<unannotated>,0.011208610609173775,0.023733483627438545,0.011208610609173775,0.023733483627438545,0.008196882903575897,0.015202011913061142,False,0.19231780418550845,q4of5,q2of5,q1of5
63,fbx_to_json_data_susu_retarget_maya/20251028/Human_0916_137_1_2_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251028,4.25,19,action-only,<unannotated>,双手交替在脸颊旁扇风，身体也随之轻微地左右摇摆,2.4375030994415283,4.657482624053955,0.02628493681550026,0.07326429337263107,0.015491531230509281,0.03927574306726456,True,0.6339914817541277,q1of5,q3of5,q4of5
64,fbx_to_json_data_susu_retarget_maya/20250919/Human_0916_13_1_7_03,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250919,6.15,53,no-tags,<unannotated>,<unannotated>,0.5222302079200745,1.1066200733184814,0.014293343760073185,0.037470728158950806,0.0099490350112319,0.028502197936177254,True,0.37183194868019775,q3of5,q5of5,q2of5
65,fbx_to_json_data_susu_retarget_maya/20250911/Human_0910_167-8_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250911,5.25,15,expression+action,脸上浮现出一丝羞涩的微笑,微微歪头，眼神上挑，带着一丝狡黠,0.018955346196889877,0.04593704268336296,0.018955346196889877,0.04593704268336296,0.015032297000288963,0.04203005135059357,False,0.5463245346513829,q2of5,q1of5,q3of5
66,fbx_to_json_data_susu_retarget_maya/20250928/Human_0916_101_3_3_02,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250928,7.05,17,action-only,<unannotated>,画圈的动作越来越大，身体也跟着轻轻摇摆，像在搅动一锅看不见的汤。,2.6186954975128174,5.222700595855713,0.022777412086725235,0.05878937989473343,0.020545365288853645,0.05468358099460602,True,0.6967215269744452,q4of5,q2of5,q4of5
67,fbx_to_json_data_susu_retarget_maya/20250910/Human_0910_64-8_02,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250910,9.6,21,expression-only,微笑,<unannotated>,0.0186451468616724,0.04827132821083069,0.0186451468616724,0.04827132821083069,0.02478952147066593,0.0759778693318367,False,0.7394836470711957,q5of5,q4of5,q5of5
68,fbx_to_json_data_susu_retarget_maya/20250904/Human_0904_4-1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250904,6.35,19,expression+action,眉毛轻挑，带着调皮的质疑,微微歪着头思考,0.011207551695406437,0.02542494423687458,0.011207551695406437,0.02542494423687458,0.013396519236266613,0.03801659867167473,False,0.2905405405405405,q3of5,q3of5,q2of5
